OBJECTID,link_4,link_3,link_2,hyperlink,projectno,year,GlobalID,Shape__Area,Shape__Length,EditYr,Edited
1, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65110A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65110.pdf,C65110,1997,{0FCA96B2-D9D5-4FC5-B1C2-DE200D55EE68},826987.332,4692.688338,,NO
2, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011,{AA89E2D4-0424-46AF-8260-D7699CE449FE},531689.4648,8171.163378,,NO
3, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C55424.pdf,C55424,2008,{854D6F96-933A-40B2-839D-CFF0C7BD1EE3},102144.9414,1593.532508,,NO
4, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C75010.pdf,C75010,1998,{966742E9-6B66-4A52-8C87-EE698E3F9C79},48203.48828,2165.879676,2018,YES
5, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C134810.pdf,C134810,2001,{6BDAE855-B990-446D-A42A-D0339D4B3D53},17038.34766,511.8834371,2017,YES
6, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C17100.pdf,C17100,2000,{7FD843BE-C46A-4A91-9CB3-CAE014CE7F45},6120.996094,380.2730657,,NO
7, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C69810.pdf,C69810,1998,{776657A6-F257-4C0C-9093-C5F7740203D6},3623.457031,333.3526984,,NO
8, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C268310.pdf,C268310,2009,{73677D57-D210-4C71-A84B-AE3818C3C0D8},1754659.059,6661.124636,2017,YES
9, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C61210.pdf,C61210,1996,{D1B989EA-0D5C-407C-8119-DB178123E9B4},1528803.488,5603.977542,,NO
10, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C47210.pdf,C47210,1992,{3FE4CD71-AA9A-4484-AC65-A3BEF78E2FF6},1437003.133,6797.187505,,NO
11, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C96010.pdf,C96010,2003,{1F149632-2AAF-42F1-B31A-C7E403B4E9F1},984464.4297,4362.359178,,NO
12, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G29500%2873140%29A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G29500%2873140%29.pdf,G29500,1987,{0F7C3FFE-6099-4A3A-952A-C97F16F5775E},1312010.121,5128.187888,,NO
13, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C52610.pdf,C52610,1994,{12788793-2EA5-4E63-AA44-59B6A5FA8016},1236164.145,6326.948324,,NO
14, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C15810.pdf,C15810,1990,{2DF1CD19-6FED-43A2-A251-6D73F6AA9249},1130689.613,4085.734275,,NO
15, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C96110A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C96110.pdf,C96110,2009,{05560DCC-B120-4101-BCFE-23A6868ADAA8},1083025.73,4972.362372,2019,YES
16, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C59810.pdf,C59810,1996,{2AF1745F-9D44-4C17-BD85-ED111CC5E02A},1039841.215,3831.724937,,NO
